id,created,updated,title,content,tags,product,topic,locale,answers,creator
1474441,2024-11-14 16:53:42 -0800,2024-11-14 16:53:42 -0800,Why are my emails being blocked to my wife's Rogers email,<p>My emails (from bthomson@web.ca) to my wife (hstevens@rogers.com) are being blocked on her computer running Thunderbird. It happens whether I send them from Thunderbird myself or from Maildroid on my phone or tablet. All my other many many emails are getting through but not mine  to her. I can't find a block instruction in her (or my) Thunderbird software which does this. </p>,thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",bthomson
1474451,2024-11-14 20:51:32 -0800,2024-11-14 20:51:32 -0800,Thunderbird subfolder action,<p>make mailbox subfolder close automatically after adding new mail from inbox </p>,thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",tom477
1474452,2024-11-14 21:00:51 -0800,2024-11-14 21:00:51 -0800,Thunderbird log in,<p>Won’t download </p>,thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",whalebackop
1474455,2024-11-14 22:59:42 -0800,2024-11-14 22:59:42 -0800,why I can't receive any mail on the Mozilla thunderbird but except in cell phone,<p>How to fit it </p>,thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",louis181
1474456,2024-11-14 23:04:13 -0800,2024-11-14 23:04:13 -0800,Deleted Thunderbird Login Information,<p>How do I replace deleted Thunderbird login information in the Saved Logins box in Passwords? </p>,thunderbird;settings;,thunderbird,settings,en-US,"",02incline-hotshot
1474457,2024-11-14 23:25:21 -0800,2024-11-14 23:25:21 -0800,Why is my calendar muted and how can I unmute it? (flatpak),"<p>I'm trying to use thunderbird with our companys gmail account (custom domain). I am able to get the calendar to show events, but for some reason, I can't get notifications from upcoming events. There is the slashed bell icon which says the calendar has been muted, but I have no idea why this is, or how to unmute it. </p>",thunderbird;settings;,thunderbird,settings,fi,"",mulderns
1474459,2024-11-14 23:44:29 -0800,2024-11-14 23:44:29 -0800,very slow,"<p>For a few days the program has been very slow, it takes a long time to open the emails, or to delete them for example. Is there a general problem or is it my problem? </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,es,"",albert66
1474461,2024-11-15 00:47:23 -0800,2024-11-15 00:47:23 -0800,Indexing causes high CPU usage and lagging in Thunderbird,"<p>I’m having some issues with Thunderbird. It’s running really slowly and making my whole computer lag. Thunderbird consumes constantly 8-9% CPU while it’s on. I’m using Windows 11 and Thunderbird version 128.4.3.esr (64-bit) on a laptop with fast NVMe drives. </p><p>I’ve added 8 email accounts, and the mail folder (Roaming/Thunderbird) is about 165 GB right now. I think it’ll go over 200 GB once all the messages finish downloading.   </p><p>The problem seems to be with message indexing. The Activity Manager shows it’s indexing over 300k messages. Even if I leave Thunderbird running all night, it doesn’t finish. When I get new emails in the morning, the indexing starts all over again. It takes hours and uses a lot of CPU while it’s happening.   </p><p>If I disable the ""Enable Global Search and Indexer"" option, Thunderbird works fast and smooth, and CPU usage drops a lot. But, I assume, this means I lose the ability to search emails. </p><p>When the lagging happens, opening an email preview can take up to 3 seconds (!), and deleting a message also takes 2-3 seconds. However, when I disable the ""Enable Global Search and Indexer"" option, Thunderbird works ultra-fast. Opening and deleting messages is instant, and there’s no delay. </p><p>Any idea how to fix this? </p>",thunderbird;performance-and-connectivity;,thunderbird,performance-and-connectivity,en-US,"",Qrzysio
1474466,2024-11-15 01:16:20 -0800,2024-11-15 01:16:20 -0800,About retyping password at sending mail,"<p>I use Mozilla Thunderbird usually. When sending the new mail after starting thunderbird process, I enter my password for SMTP at once only. Normally, this operation done correctly. But I must retype the password if I misstype. </p><p>Anyone has retype password to Thunderbird? </p><p>Retyping is failed always at my environment. I must restart Thunderbird for resuming to send the mail. Why? I don't want to restart Thunderbird for such thing. </p><p>Please teach me nice way. Thank you. </p><p>My environment: PC: DELL Precision T5810 (CPU: Intel Xeon E5-1620 v3, Mem.: PC4-17000 ECC Reg. 32GB) C drive: Crucial CT1000P3PSSD8JP (NVMe SSD 1TB) OS: Microsoft Windows 10 Pro 64bit Japanese version 22H2 (OS-build: 19045.5131) mailer: Mozilla Thunderbird 128.4.3esr (64bit) </p>",thunderbird;email-and-messaging;,thunderbird,email-and-messaging,en-US,"",ichikura
1474467,2024-11-15 01:18:01 -0800,2024-11-15 01:18:01 -0800,Thunderbird runs very slowly,"<p>Since yesterday, November 14, 2024, my Thunderbird has been working very slowly. </p><p>It is very very slowly when receive emails and when I open a new one it takes a long time to open it and it goes blank until he reacts. </p><p>It started happening on one computer and has now spread to 4 others. </p><p>What could be causing this problem? </p><p>Thank you very much and greetings </p>",thunderbird;performance-and-connectivity;,thunderbird,performance-and-connectivity,es,"",soporte25
